name,review
고옴99,
민댕_Eileen,음.... 양이 많지 않은 편으로  인원수에 맞춰서 혹은 인원수 보다 +1 정도 시키시고  제가 갔을 때는 껍데기가 너무 냄새가 많이 났어요
88mr,손님많아요 가격비해 양 많아요
꼬리리이,맛있습니당
순정마초79,식감 좋고 맛 좋고 완전 고추 맛집!!!
1234560,고기에서 냄새나고 김치도 별로 없었어요~! 맛도 약간 애매하고 후추 맛만 강했어요! 저랑 같이 먹은 친구랑 둘 다 먹고 배 아팠네요ㅠ 고기 질이 좋지 않은 것 같아요! 다음엔 안가려고요~!
tamayura,일본 친구가 한국 놀러와서 삼겹살 먹으러 우연히 들른 곳인데 맛집이었네요 ㅎㅎ 양도 많고 맛있었어요! 넘 배불러서 볶음밥은 다 먹지도 못했네요;; 5시쯤 들어갔는데 6시부터는 웨이팅도 어마어마하더라구요;; 직원분들도 친절하셨고 편안히 잘 먹고 왔어요 :)
행복하게 재미있게 살자,굿
yuna1541,마싯줌 sns에 태그해서 올리면 볶음밥 혹은 음료 서비스로 주심
Win38,한번쯤 가볼만해요 괜춘
타마136,영등포 보단 아니지만...
뽀까14,굿
gre****,
jshajy76,좋아요 
마두으탸부라,
ht****,돼지김치구이인데 김치양이 많지않아서 아쉬웠어요
쥬쥬jj,돼지김치구이가 맛있어요
gfe****,가성비 굿굿~
my1737,잘 먹었어요.
귀요미 등장,존맛탱
realjosun,맛있어요
잘하는집을안가봐서그래,웨이팅이 있지만 생각보다 회전율이 좋고 너무 맛있어요! 마라샹궈처럼 주기적으로 생각나는 맛이에요 ㅎㅎㅎ👍🏻
HaU,
바닐라빙수,언제먹어도 맛있어요!
CWO,
yuna1541,메뉴 하나하나 다 맛있어욤 ㅠ_!
뇽냥푱댱,웨이팅이 항상 있지만 맛있어서 자주 이용합니다
Bomess,
냠3679,
김맘김,평일 점심에 갔었는데 테이블도 안 치워져있고 여자알바생분이 정말 예의가 없습니다 음식은 맛있었어요
뇽냥푱댱,정말 맛있어요! 비빔국수는 처음 시켜봤는데 비빔국수도 정말 맛있습니다 비빔면 정도로 생각했는데 양념이 정말 맛있어요
서애옹이,신촌 오랜만에 가서 먹었는데 여전히 맛있었어요💗
맛도리도리도리도리도리,
먹꾸의 맛집탐방,
영도 ytcusnu,추석인데 가게들이 영업 안 했는데 여기는 열려 있어서 들어갔습니다. 우와 너무 맛있었습니다. 김치맛도 고소하고 고기맛도 잘 어울려서 정말 맛있게 먹었습니다.
둘 맘15,
pzgzfz,굿
aaaa0609,
20201971,좋아요 !
맛집헌터최맛솜,정통집 신촌점 너무 맛있어요…
자몽허니블랙티맛있어,양이 조금 줄어든 느낌이지만 맛있어서 행복했어요 ㅎㅎ
tae****,👍👍👍👍👍👍👍👍👍👍👍
멥쌀밥,돼지김치구이(소) + 볶음밥 해서 둘이 먹었습니다. 기본적으로 조리되어 나오며 양이 적지는 않았아요. 맛있지만 사진보면 예상되는 특별하지 않고 흔한 맛입니다. 사람이 많고 바빠서 그런지 직원들은 많이 불친절했습니다.
15****,굿
진실의미간,굳
