name,review
밍유토리,
칠월일일,쭈꾸미가 탱글탱글하고 양도 많고 구성도 알찼어요😋 적당히 매콤해서 맵찔이도 맛있게 먹을 수 있었습니다! 볶음밥에는 치즈랑 계란을 같이 넣고 볶아주시는데 이게 별미네요. 사장님께서도 정말 친절하십니다.
eun4062,
검프16,쭈꾸미 삼겹살 신촌맛집. 레트로한 분위기와 잘 어울리는 홍합탕. 콘치즈. 계란찜 등. 깻잎에 싸먹는 매운 쭈꾸미와 마요네즈 소스. 마지막 치즈 볶음밥은 양념과 계란과 치즈가 잘 배합된 완벽에 가까운 볶음밥이었다. 치즈볶음밥은 꼭 먹어보길 !! 
밥곤듀,아주 추천하는 곳입니다~ 쭈꾸미 맛있어요! 쭈꾸미 통통하고 크고. 소스가 적당히 딱 매운게 맛있습니다. 셀프바에서 눈치보지않고 먹을수있어서 넘 좋았고요. 재방문의사있습니다! 
dl****,
공보리,푸짐하도 싱싱하고 친절한 신촌 쭈꾸미 맛집 🐙
RRapper,
atraxia,
햅삐씨,
우뉴뉴우우,
청담동장마담,넘흐맛있어요
깡깡럽,옛날 풍경속에서 맛있는걸 먹을 수 있는 재밌고.맛있는 곳이예요♡ 인테리어 만으로도 충분히 편안하고~ 메뉴로도 충분히 즐거워요^^ 좋은 곳에서 맛있는 시간 보냈어요~
EnS,
꼰대리의퇴근길,딱 좋아하는 매운맛이라 식겁하고 먹었습니다. 마오네즈에 찍어먹으면 존맛탱~♡ 직원분들도 매우 친절하시네요. 또 방문할 예정~~
유도리의 데일리,쭈꾸미가 엄청 매콤하고 탱글탱글 식감이 너무 맛있습니다. 삼겹살이랑 깻잎 김이랑 마요네즈랑 같이 싸먹는 조합이 엄청 미쳤어요. 계란찜도 무한으로 먹을 수 있어서 좋고 쭈꾸미 양념이 볶음밥이랑 같이 먹으면 꿀맛! 볶음밥까지 같이 추천드려요! 가게분위기도 옛날 구멍가게 인테리어가 멋집니다 쭈꾸미 맛집이네요~
HotSol,큼지막한 쭈꾸미 낭낭하게 많이 넣어주셔요!! 매콤하고 맛나요🔥 마무리는 역시 볶음밥!!
Somer,쭈꾸미 통통하고 맛있어요! 계란찜 리필돼서 좋아요
coc****,
매력적인멕시코악어,
손날듀,무한으로주는 계란찜이 꿀맛이에요!! 쭈삼에 퐁듀까지 찍어먹으면 존맛입니다.. 신촌에 몇없는 맛집 인정합니다
Story12,쭈꾸미삼겹살 너무 막있게 잘 먹었어용!!!
che****,
김몽실이62,
myreddiary,점심으로 쭈삼이랑 치즈볶음밥 까지 풀코스로 푸짐하게 잘 먹고 왔어요~ 맛있게 매운 맛이리 쓰읍 쓰읍 하면서도 끝까지 남김없이 먹고 왔어요! 매운거 좋아하는 분들 꼭 방문해보세요👍👍
yymjcool43,채소 무한리필이라 좋아요
송쓰15,쭈꾸미 다 먹고 밥 볶아 먹는 게 원래 메인인 거 아시죠? 소주 순삭했습니다 굿😉
smile60,
키에라랄라,학교 졸업하고 진짜 오랜만에 와본 쭈블!! 가을이라 그런지 쭈꾸미도 튼실하고 볶음밥도 맛있어요ㅎㅎ 무엇보다 사장님이 친절하셔서 좋습니닷
ps****,
짜짜짠33,너무 맛있게 잘 먹고 갑니다~ 
